company_name,company_website
Macmillan Cancer Support,macmillan.org.uk
Longshot Systems,longshotsystems.co.uk
Risk Ledger,riskledger.com
Level Financial Technology,levelft.com
Travtus,travtus.com
QuantSpark,quantspark.com
VoCoVo,vocovo.com
Fundment,fundment.com
Futureheads Recruitment,wearefutureheads.com
9fin,9fin.com
Fifth Dimension,fifthdimensionai.com
Aspect Capital,aspectcapital.com
Antillion,antillion.com
Circuit Mind,circuitmind.io
SeatPlan.com,seatplan.com
LV=,lv.com
Zopa,zopa.com
Global Relay,globalrelay.com
Atomic,atomicmedia.co.uk
iwoca,iwoca.co.uk
Artificial,artificial.io
Centra,centra.com
Tendable,tendable.com
TreasurySpring,treasuryspring.com
Dunelm,dunelm.com
ONVU Tech,onvutech.com
Easyship,easyship.com
Which?,which.co.uk
TransFICC,transficc.com
Palindrom,palindrom.ai
DuckDuckGo,duckduckgo.com
Flock,flockcover.com
Syntasso,syntasso.io
Advai Ltd,advai.co.uk
OpenAsset,openasset.com
Prolific,prolific.co
Zest Group,zestgroup.vc
Wave Talent,wavetalent.co
Trayport,trayport.com
Abtrace,abtrace.co
Florence,florence.co.uk
Capi Money,capimoney.com
Zinc,zinc.work
Rise Talent Ltd,risetalent.io
Spruce,spruce.eco
Zora Ecosystems,zora.eco
Formula Recruitment,formularecruitment.co.uk
Popsa,popsa.com
RWE,rwe.com
Creo Recruitment,creorecruitment.com
ICE - International Copyright Enterprise GmbH,iceservices.com
annwn,annwn.ai
Forge Sports,forge-sports.com
Grabyo,grabyo.com
Vallorii,vallorii.com
mOOvIQ Limited,addooco.it
Titanbay,titanbay.com
Eucalyptus,eucalyptus.vc
Cloud Gateway,cloudgateway.co.uk
IAG Loyalty,iagloyalty.com
ecce.,ecce.uk
Sparta Commodities,spartacommodities.com
Moneycorp,moneycorp.com
Utility Warehouse,uw.co.uk
ClearRoute,clearroute.io
Matchtech,matchtech.com
YouLend,youlend.com
Thought Machine,thoughtmachine.net
Triad Group Plc,triad.co.uk
Noon Academy,noonacademy.com
Capsa AI,capsa.ai
Unleash,unleash-hosted.com
Redgate Software,red-gate.com
Slalom,slalombuild.com
Loomery,loomery.com
Vega,vega.investments
Opencast,opencastsoftware.com
Ebury,ebury.com
Bauer Media Outdoor,bauermediaoutdoor.com
Dragonfly,askdragonfly.com
Xapien,xapien.com
Azzurri Group,azzurrigroup.co.uk
Morta,morta.io
Motion Applied,mclaren.com
Haven,haven.com
Opply,opply.io
DeepL SE,deepl.com
Xantura,xantura.com
Bullish,bullish.com
NLPatent,nlpatent.com
Skin Analytics,skin-analytics.com
Magentic,magentic.com
JUXT,juxt.pro
Searchland,searchland.co.uk
Cog Design,cogdesign.com
Muzz,muzz.com
PortSwigger,portswigger.net
Trade Republic,traderepublic.com
MuBit,mubit.ai
CrossTech,crosstech.co.uk
Walr Group Ltd,walr.com
Buzztrial,buzztrail.ai
Partnerize,partnerize.com
Cookpad,cookpad.com
American Express,americanexpress.com
Hitachi Vantara,hitachivantara.com
Emtec,emtec.io
Starling,starlingbank.com
GlobalLogic UK&I,globallogic.com
Depop,depop.com
Aslan,aslanpay.co.uk
OnBuy,onbuy.com
Ledgy,ledgy.com
Ocado Technology,ocadogroup.com
Lumilinks,lumilinks.com
Applied Data Science Partners,adsp.ai
Tau Marketing Solutions,taums.ai
TigerGraph,tigergraph.com
Camion Energy,camion.energy
Landytech,landytech.com
HomeServe Finance,homeserve.com
TechShack Recruitment,tech-shack.co
Catapult,catapultlabs.xyz
Tab,tab.travel
Diesta,diesta.co.uk
Santander Auto Software,santander.co.uk
AKQA,akqa.com
